mode,overall,alpha,lam,lr,best_auc,test_loss,test_acc,test_auc
Weighted cosine,True,1.000000,300,0.001000,0.835490,0.503922,0.762900,0.844231
Unweighted cosine,True,1.000000,1000,0.001000,0.838220,0.491448,0.760400,0.846008
Weighted cosine,True,1.000000,1000,0.001000,0.835489,0.521358,0.745700,0.844536
Unweighted cosine,True,1.000000,3000,0.001000,0.842098,0.492966,0.760700,0.846324
Weighted cosine,True,1.000000,3000,0.001000,0.832313,0.512104,0.746400,0.838955
Unweighted cosine,True,1.000000,10000,0.001000,0.840024,0.496914,0.759200,0.846205
Weighted cosine,True,1.000000,10000,0.001000,0.832103,0.507118,0.750100,0.840173
Unweighted cosine,True,1.000000,30000,0.001000,0.841273,0.519840,0.754100,0.844455
Weighted cosine,True,1.000000,30000,0.001000,0.836253,0.496158,0.762800,0.844526
Unweighted cosine,False,1.000000,300,0.001000,0.838268,0.528655,0.752200,0.840484
Weighted cosine,False,1.000000,300,0.001000,0.831268,0.529445,0.745300,0.838396
Unweighted cosine,False,1.000000,1000,0.001000,0.828415,0.508045,0.753300,0.835502
Weighted cosine,False,1.000000,1000,0.001000,0.830038,0.511494,0.751600,0.836171
Unweighted cosine,False,1.000000,3000,0.001000,0.836030,0.500932,0.761300,0.841244
Weighted cosine,False,1.000000,3000,0.001000,0.829818,0.511119,0.749100,0.835302
Unweighted cosine,False,1.000000,10000,0.001000,0.834762,0.507033,0.756800,0.842148
Weighted cosine,False,1.000000,10000,0.001000,0.832649,0.510298,0.752100,0.837166
Unweighted cosine,False,1.000000,30000,0.001000,0.830095,0.535467,0.744500,0.837761
Weighted cosine,False,1.000000,30000,0.001000,0.822850,0.531669,0.742400,0.825455
Unweighted cosine,True,1.000000,300,0.001000,0.840912,0.489920,0.763500,0.850700
Weighted cosine,True,1.000000,300,0.001000,0.837030,0.501592,0.763200,0.848656
Unweighted cosine,True,1.000000,1000,0.001000,0.844913,0.485799,0.767300,0.856260
Weighted cosine,True,1.000000,1000,0.001000,0.837884,0.497196,0.761800,0.847217
Unweighted cosine,True,1.000000,3000,0.001000,0.841114,0.492108,0.765100,0.851285
Weighted cosine,True,1.000000,3000,0.001000,0.840212,0.487763,0.765600,0.850314
Unweighted cosine,True,1.000000,10000,0.001000,0.637244,0.695705,0.495100,0.629668
Weighted cosine,True,1.000000,10000,0.001000,0.837849,0.504983,0.761500,0.848904
Unweighted cosine,True,1.000000,30000,0.001000,0.841114,0.496694,0.759500,0.849019
Weighted cosine,True,1.000000,30000,0.001000,0.838663,0.492741,0.764400,0.848856
Unweighted cosine,False,1.000000,300,0.001000,0.840587,0.498144,0.763200,0.849327
Weighted cosine,False,1.000000,300,0.001000,0.833727,0.538917,0.745800,0.842192
Unweighted cosine,False,1.000000,1000,0.001000,0.841627,0.494562,0.763500,0.849921
Weighted cosine,False,1.000000,1000,0.001000,0.835953,0.498456,0.764100,0.843536
Unweighted cosine,False,1.000000,3000,0.001000,0.845992,0.501532,0.762500,0.852276
Weighted cosine,False,1.000000,3000,0.001000,0.839006,0.500321,0.756900,0.845004
Unweighted cosine,False,1.000000,10000,0.001000,0.837965,0.511753,0.753100,0.844347
Weighted cosine,False,1.000000,10000,0.001000,0.832152,0.493534,0.759900,0.841251
Unweighted cosine,False,1.000000,30000,0.001000,0.674636,0.692166,0.496000,0.662601
Weighted cosine,False,1.000000,30000,0.001000,0.835680,0.485806,0.765800,0.845994
