run,mode,overall,alpha,lam,loss
4,Unweighted cosine,False,1,1,0.33274078
4,Orthogonal,False,0.01,1,0.3149293
4,Orthogonal,False,1,1,0.3076394
5,Single task,False,1,0,0.3291893
5,Multitask,False,1,300,0.64314973
5,Projection,False,0.01,300,0.32415742
5,Projection,False,1,300,0.59498805
5,Weighted cosine,False,0.01,300,0.29904974
5,Weighted cosine,False,1,300,0.28886157
5,Unweighted cosine,False,0.01,300,0.30930787
5,Unweighted cosine,False,1,300,0.33127743
5,Orthogonal,False,0.01,300,0.3243698
5,Orthogonal,False,1,300,0.5835313
5,Multitask,False,1,100,0.4510656
5,Projection,False,0.01,100,0.3073489
5,Projection,False,1,100,0.35876355
5,Weighted cosine,False,0.01,100,0.2986653
5,Weighted cosine,False,1,100,0.31317866
5,Unweighted cosine,False,0.01,100,0.30706754
5,Unweighted cosine,False,1,100,0.2986359
5,Orthogonal,False,0.01,100,0.29793906
5,Orthogonal,False,1,100,0.35792214
5,Multitask,False,1,30,0.30956098
5,Projection,False,0.01,30,0.3023199
5,Projection,False,1,30,0.3139032
5,Weighted cosine,False,0.01,30,0.3039178
5,Weighted cosine,False,1,30,0.29804176
5,Unweighted cosine,False,0.01,30,0.29849467
5,Unweighted cosine,False,1,30,0.30701563
5,Orthogonal,False,0.01,30,0.31763247
5,Orthogonal,False,1,30,0.3070672
5,Multitask,False,1,10,0.30845246
5,Projection,False,0.01,10,0.3068292
5,Projection,False,1,10,0.30252486
5,Weighted cosine,False,0.01,10,0.3055294
5,Weighted cosine,False,1,10,0.30554962
5,Unweighted cosine,False,0.01,10,0.30266607
5,Unweighted cosine,False,1,10,0.29698467
5,Orthogonal,False,0.01,10,0.33375546
5,Orthogonal,False,1,10,0.31155527
5,Multitask,False,1,3,0.2931935
5,Projection,False,0.01,3,0.29740345
5,Projection,False,1,3,0.30747035
5,Weighted cosine,False,0.01,3,0.30742425
5,Weighted cosine,False,1,3,0.30225188
5,Unweighted cosine,False,0.01,3,0.29506403
5,Unweighted cosine,False,1,3,0.34531203
5,Orthogonal,False,0.01,3,0.30248454
5,Orthogonal,False,1,3,0.29666835
5,Multitask,False,1,1,0.2986074
5,Projection,False,0.01,1,0.3026641
5,Projection,False,1,1,0.28998348
5,Weighted cosine,False,0.01,1,0.2928677
5,Weighted cosine,False,1,1,0.30552846
5,Unweighted cosine,False,0.01,1,0.33459747
5,Unweighted cosine,False,1,1,0.2974146
5,Orthogonal,False,0.01,1,0.29950055
5,Orthogonal,False,1,1,0.3040318
6,Single task,False,1,0,0.2994421
6,Multitask,False,1,300,0.655863
6,Projection,False,0.01,300,0.3829097
6,Projection,False,1,300,0.5620619
6,Weighted cosine,False,0.01,300,0.32225603
6,Weighted cosine,False,1,300,0.29706845
6,Unweighted cosine,False,0.01,300,0.31363413
6,Unweighted cosine,False,1,300,0.32062727
6,Orthogonal,False,0.01,300,0.3076863
6,Orthogonal,False,1,300,0.5849477
6,Multitask,False,1,100,0.444775
6,Projection,False,0.01,100,0.293365
6,Projection,False,1,100,0.36729172
6,Weighted cosine,False,0.01,100,0.32186475
6,Weighted cosine,False,1,100,0.29207948
6,Unweighted cosine,False,0.01,100,0.30760485
6,Unweighted cosine,False,1,100,0.31932923
6,Orthogonal,False,0.01,100,0.3080949
6,Orthogonal,False,1,100,0.3696634
6,Multitask,False,1,30,0.31841308
6,Projection,False,0.01,30,0.3090664
6,Projection,False,1,30,0.31974694
6,Weighted cosine,False,0.01,30,0.29774424
6,Weighted cosine,False,1,30,0.2933655
6,Unweighted cosine,False,0.01,30,0.2908279
6,Unweighted cosine,False,1,30,0.32830662
6,Orthogonal,False,0.01,30,0.30881977
6,Orthogonal,False,1,30,0.31449956
6,Multitask,False,1,10,0.32581934
6,Projection,False,0.01,10,0.31705332
6,Projection,False,1,10,0.2941264
6,Weighted cosine,False,0.01,10,0.31190956
6,Weighted cosine,False,1,10,0.30005893
6,Unweighted cosine,False,0.01,10,0.33218968
6,Unweighted cosine,False,1,10,0.30372322
6,Orthogonal,False,0.01,10,0.30066457
6,Orthogonal,False,1,10,0.29406315
6,Multitask,False,1,3,0.28922153
6,Projection,False,0.01,3,0.31173903
6,Projection,False,1,3,0.30758762
6,Weighted cosine,False,0.01,3,0.31128195
6,Weighted cosine,False,1,3,0.30580708
6,Unweighted cosine,False,0.01,3,0.31203708
6,Unweighted cosine,False,1,3,0.32966983
6,Orthogonal,False,0.01,3,0.34276676
6,Orthogonal,False,1,3,0.30224946
6,Multitask,False,1,1,0.30120283
6,Projection,False,0.01,1,0.29098147
6,Projection,False,1,1,0.3501443
6,Weighted cosine,False,0.01,1,0.29587275
6,Weighted cosine,False,1,1,0.34948915
6,Unweighted cosine,False,0.01,1,0.29909566
6,Unweighted cosine,False,1,1,0.29689962
6,Orthogonal,False,0.01,1,0.29292768
6,Orthogonal,False,1,1,0.30128446
7,Single task,False,1,0,0.3201377
7,Multitask,False,1,300,0.6642105
7,Projection,False,0.01,300,0.31898358
7,Projection,False,1,300,0.5613551
7,Weighted cosine,False,0.01,300,0.3135776
7,Weighted cosine,False,1,300,0.30689806
7,Unweighted cosine,False,0.01,300,0.30231565
7,Unweighted cosine,False,1,300,0.31667513
7,Orthogonal,False,0.01,300,0.30030867
7,Orthogonal,False,1,300,0.58146596
7,Multitask,False,1,100,0.44504493
7,Projection,False,0.01,100,0.29336825
7,Projection,False,1,100,0.3735774
7,Weighted cosine,False,0.01,100,0.30111492
7,Weighted cosine,False,1,100,0.2918627
7,Unweighted cosine,False,0.01,100,0.34160462
7,Unweighted cosine,False,1,100,0.32278517
7,Orthogonal,False,0.01,100,0.3304768
7,Orthogonal,False,1,100,0.34940663
7,Multitask,False,1,30,0.30378026
7,Projection,False,0.01,30,0.31420115
7,Projection,False,1,30,0.31247082
7,Weighted cosine,False,0.01,30,0.29785648
7,Weighted cosine,False,1,30,0.33533686
7,Unweighted cosine,False,0.01,30,0.3093614
7,Unweighted cosine,False,1,30,0.30025157
7,Orthogonal,False,0.01,30,0.31476146
7,Orthogonal,False,1,30,0.3058032
7,Multitask,False,1,10,0.32370642
7,Projection,False,0.01,10,0.30780193
7,Projection,False,1,10,0.3028973
7,Weighted cosine,False,0.01,10,0.30336025
7,Weighted cosine,False,1,10,0.30607852
7,Unweighted cosine,False,0.01,10,0.30269012
7,Unweighted cosine,False,1,10,0.2941143
7,Orthogonal,False,0.01,10,0.3053782
7,Orthogonal,False,1,10,0.34734875
7,Multitask,False,1,3,0.31359172
7,Projection,False,0.01,3,0.29482025
7,Projection,False,1,3,0.34192556
7,Weighted cosine,False,0.01,3,0.2991928
7,Weighted cosine,False,1,3,0.3335195
7,Unweighted cosine,False,0.01,3,0.31205907
7,Unweighted cosine,False,1,3,0.33341953
7,Orthogonal,False,0.01,3,0.3562066
7,Orthogonal,False,1,3,0.2989602
7,Multitask,False,1,1,0.2988234
7,Projection,False,0.01,1,0.32390597
7,Projection,False,1,1,0.30597875
7,Weighted cosine,False,0.01,1,0.32332513
7,Weighted cosine,False,1,1,0.30419594
7,Unweighted cosine,False,0.01,1,0.32294282
7,Unweighted cosine,False,1,1,0.35234672
7,Orthogonal,False,0.01,1,0.32371145
7,Orthogonal,False,1,1,0.35399
8,Single task,False,1,0,0.3198897
8,Multitask,False,1,300,0.64661777
8,Projection,False,0.01,300,0.3222709
8,Projection,False,1,300,0.57822853
8,Weighted cosine,False,0.01,300,0.297444
8,Weighted cosine,False,1,300,0.30844688
8,Unweighted cosine,False,0.01,300,0.3122637
8,Unweighted cosine,False,1,300,0.30665612
8,Orthogonal,False,0.01,300,0.30832407
8,Orthogonal,False,1,300,0.59625435
8,Multitask,False,1,100,0.4634946
8,Projection,False,0.01,100,0.30646086
8,Projection,False,1,100,0.35068458
8,Weighted cosine,False,0.01,100,0.31000325
8,Weighted cosine,False,1,100,0.30665672
8,Unweighted cosine,False,0.01,100,0.2994066
8,Unweighted cosine,False,1,100,0.3409298
8,Orthogonal,False,0.01,100,0.29011458
8,Orthogonal,False,1,100,0.36816818
8,Multitask,False,1,30,0.30793804
8,Projection,False,0.01,30,0.319385
8,Projection,False,1,30,0.321296
8,Weighted cosine,False,0.01,30,0.29785115
8,Weighted cosine,False,1,30,0.31822667
8,Unweighted cosine,False,0.01,30,0.303391
8,Unweighted cosine,False,1,30,0.30412853
8,Orthogonal,False,0.01,30,0.31374103
8,Orthogonal,False,1,30,0.30883324
8,Multitask,False,1,10,0.29751578
8,Projection,False,0.01,10,0.30876297
8,Projection,False,1,10,0.31541458
8,Weighted cosine,False,0.01,10,0.32374057
8,Weighted cosine,False,1,10,0.2935601
8,Unweighted cosine,False,0.01,10,0.34604105
8,Unweighted cosine,False,1,10,0.30273676
8,Orthogonal,False,0.01,10,0.30683902
8,Orthogonal,False,1,10,0.30810103
8,Multitask,False,1,3,0.3018151
8,Projection,False,0.01,3,0.30979872
8,Projection,False,1,3,0.29751673
8,Weighted cosine,False,0.01,3,0.29233244
8,Weighted cosine,False,1,3,0.3500668
8,Unweighted cosine,False,0.01,3,0.3121562
8,Unweighted cosine,False,1,3,0.3543047
8,Orthogonal,False,0.01,3,0.3034195
8,Orthogonal,False,1,3,0.3306564
8,Multitask,False,1,1,0.295101
8,Projection,False,0.01,1,0.3051525
8,Projection,False,1,1,0.31159168
8,Weighted cosine,False,0.01,1,0.30125582
8,Weighted cosine,False,1,1,0.30422437
8,Unweighted cosine,False,0.01,1,0.30155802
8,Unweighted cosine,False,1,1,0.3017357
8,Orthogonal,False,0.01,1,0.31336898
8,Orthogonal,False,1,1,0.33250454
9,Single task,False,1,0,0.3010964
9,Multitask,False,1,300,0.64327186
9,Projection,False,0.01,300,0.30014026
9,Projection,False,1,300,0.5839213
9,Weighted cosine,False,0.01,300,0.3095262
9,Weighted cosine,False,1,300,0.30159122
9,Unweighted cosine,False,0.01,300,0.2948339
9,Unweighted cosine,False,1,300,0.33640203
9,Orthogonal,False,0.01,300,0.30811796
9,Orthogonal,False,1,300,0.58502966
9,Multitask,False,1,100,0.45284668
9,Projection,False,0.01,100,0.29178172
9,Projection,False,1,100,0.35980478
9,Weighted cosine,False,0.01,100,0.3273363
9,Weighted cosine,False,1,100,0.3189985
9,Unweighted cosine,False,0.01,100,0.30380306
9,Unweighted cosine,False,1,100,0.3018966
9,Orthogonal,False,0.01,100,0.29322314
9,Orthogonal,False,1,100,0.35613444
9,Multitask,False,1,30,0.30921188
9,Projection,False,0.01,30,0.30833983
9,Projection,False,1,30,0.31468585
9,Weighted cosine,False,0.01,30,0.34715062
9,Weighted cosine,False,1,30,0.31537446
9,Unweighted cosine,False,0.01,30,0.3073551
9,Unweighted cosine,False,1,30,0.32547152
9,Orthogonal,False,0.01,30,0.33078554
9,Orthogonal,False,1,30,0.31519255
9,Multitask,False,1,10,0.3020502
9,Projection,False,0.01,10,0.297508
9,Projection,False,1,10,0.31717294
9,Weighted cosine,False,0.01,10,0.33083493
9,Weighted cosine,False,1,10,0.2980482
9,Unweighted cosine,False,0.01,10,0.2987932
9,Unweighted cosine,False,1,10,0.29431134
9,Orthogonal,False,0.01,10,0.2988545
9,Orthogonal,False,1,10,0.3254609
9,Multitask,False,1,3,0.30386403
9,Projection,False,0.01,3,0.30290586
9,Projection,False,1,3,0.32374224
9,Weighted cosine,False,0.01,3,0.32735088
9,Weighted cosine,False,1,3,0.29616216
9,Unweighted cosine,False,0.01,3,0.29900274
9,Unweighted cosine,False,1,3,0.30269474
9,Orthogonal,False,0.01,3,0.29914153
9,Orthogonal,False,1,3,0.30026
9,Multitask,False,1,1,0.29803374
9,Projection,False,0.01,1,0.3353488
9,Projection,False,1,1,0.31217423
9,Weighted cosine,False,0.01,1,0.32274646
9,Weighted cosine,False,1,1,0.30003303
9,Unweighted cosine,False,0.01,1,0.3095853
9,Unweighted cosine,False,1,1,0.30913895
9,Orthogonal,False,0.01,1,0.30426908
9,Orthogonal,False,1,1,0.3139834
10,Single task,False,1,0,0.30540028
10,Multitask,False,1,300,0.65261924
10,Projection,False,0.01,300,0.30748054
10,Projection,False,1,300,0.57661766
10,Weighted cosine,False,0.01,300,0.31366977
10,Weighted cosine,False,1,300,0.30869177
10,Unweighted cosine,False,0.01,300,0.29912582
10,Unweighted cosine,False,1,300,0.291854
10,Orthogonal,False,0.01,300,0.31589043
10,Orthogonal,False,1,300,0.6016562
10,Multitask,False,1,100,0.4524582
10,Projection,False,0.01,100,0.3088887
10,Projection,False,1,100,0.37751496
10,Weighted cosine,False,0.01,100,0.29728183
10,Weighted cosine,False,1,100,0.2971047
10,Unweighted cosine,False,0.01,100,0.30163386
10,Unweighted cosine,False,1,100,0.31693253
10,Orthogonal,False,0.01,100,0.3039614
10,Orthogonal,False,1,100,0.3521911
10,Multitask,False,1,30,0.30663475
10,Projection,False,0.01,30,0.30958787
10,Projection,False,1,30,0.31632885
10,Weighted cosine,False,0.01,30,0.30469608
10,Weighted cosine,False,1,30,0.3049364
10,Unweighted cosine,False,0.01,30,0.3022127
10,Unweighted cosine,False,1,30,0.3069392
10,Orthogonal,False,0.01,30,0.3255664
10,Orthogonal,False,1,30,0.30791014
10,Multitask,False,1,10,0.31697175
10,Projection,False,0.01,10,0.30361542
10,Projection,False,1,10,0.32451326
10,Weighted cosine,False,0.01,10,0.31156722
10,Weighted cosine,False,1,10,0.34485063
10,Unweighted cosine,False,0.01,10,0.32476944
10,Unweighted cosine,False,1,10,0.343137
10,Orthogonal,False,0.01,10,0.3013442
10,Orthogonal,False,1,10,0.34167457
10,Multitask,False,1,3,0.31005046
10,Projection,False,0.01,3,0.33493719
10,Projection,False,1,3,0.2908381
10,Weighted cosine,False,0.01,3,0.30374366
10,Weighted cosine,False,1,3,0.3078834
10,Unweighted cosine,False,0.01,3,0.3119915
10,Unweighted cosine,False,1,3,0.29318804
10,Orthogonal,False,0.01,3,0.31417683
10,Orthogonal,False,1,3,0.29662105
10,Multitask,False,1,1,0.35727203
10,Projection,False,0.01,1,0.36490813
10,Projection,False,1,1,0.30728355
10,Weighted cosine,False,0.01,1,0.2952061
10,Weighted cosine,False,1,1,0.2932824
10,Unweighted cosine,False,0.01,1,0.3076663
10,Unweighted cosine,False,1,1,0.30274528
10,Orthogonal,False,0.01,1,0.31936786
10,Orthogonal,False,1,1,0.31403485
11,Single task,False,1,0,0.29990298
11,Multitask,False,1,300,0.6417471
11,Projection,False,0.01,300,0.31493348
11,Projection,False,1,300,0.5744637
11,Weighted cosine,False,0.01,300,0.30134103
11,Weighted cosine,False,1,300,0.294682
11,Unweighted cosine,False,0.01,300,0.2963821
11,Unweighted cosine,False,1,300,0.33669025
11,Orthogonal,False,0.01,300,0.31520995
11,Orthogonal,False,1,300,0.5709744
11,Multitask,False,1,100,0.44228134
11,Projection,False,0.01,100,0.3001182
11,Projection,False,1,100,0.3740036
11,Weighted cosine,False,0.01,100,0.30422476
11,Weighted cosine,False,1,100,0.30048296
11,Unweighted cosine,False,0.01,100,0.29710275
11,Unweighted cosine,False,1,100,0.29916015
11,Orthogonal,False,0.01,100,0.29547724
11,Orthogonal,False,1,100,0.40362993
11,Multitask,False,1,30,0.3155076
11,Projection,False,0.01,30,0.3001772
11,Projection,False,1,30,0.30474132
11,Weighted cosine,False,0.01,30,0.3031319
11,Weighted cosine,False,1,30,0.29004136
11,Unweighted cosine,False,0.01,30,0.30652726
11,Unweighted cosine,False,1,30,0.29969278
11,Orthogonal,False,0.01,30,0.30458713
11,Orthogonal,False,1,30,0.3166852
11,Multitask,False,1,10,0.31234157
11,Projection,False,0.01,10,0.30081096
11,Projection,False,1,10,0.29501748
11,Weighted cosine,False,0.01,10,0.2980056
11,Weighted cosine,False,1,10,0.36903664
11,Unweighted cosine,False,0.01,10,0.3143858
11,Unweighted cosine,False,1,10,0.29932353
11,Orthogonal,False,0.01,10,0.29598802
11,Orthogonal,False,1,10,0.2995658
11,Multitask,False,1,3,0.29884362
11,Projection,False,0.01,3,0.29991135
11,Projection,False,1,3,0.32176316
11,Weighted cosine,False,0.01,3,0.29947686
