lam,final_lam,beta,lr,log,best_auc,test_loss,test_acc,test_auc
3000.000000,2999.964111,100.000000,0.001000,False,0.841450,0.511044,0.756300,0.851220
10000.000000,9999.953125,100.000000,0.001000,False,0.841797,0.493518,0.760300,0.847829
30000.000000,29999.990234,100.000000,0.001000,False,0.835253,0.499987,0.759400,0.840068
300.000000,298.993652,1000.000000,0.001000,False,0.838515,0.490056,0.767200,0.846995
1000.000000,998.591431,1000.000000,0.001000,False,0.839639,0.495498,0.763000,0.846991
3000.000000,2999.592041,1000.000000,0.001000,False,0.839628,0.517539,0.750400,0.848827
10000.000000,9998.804688,1000.000000,0.001000,False,0.843213,0.512311,0.755900,0.848281
30000.000000,29998.244141,1000.000000,0.001000,False,0.840261,0.549212,0.739400,0.842450
300.000000,286.760864,10000.000000,0.001000,False,0.836595,0.491019,0.768000,0.847963
1000.000000,997.223450,10000.000000,0.001000,False,0.837162,0.500847,0.761800,0.843792
3000.000000,2992.604736,10000.000000,0.001000,False,0.840989,0.501945,0.757000,0.847839
10000.000000,9988.620117,10000.000000,0.001000,False,0.838976,0.509911,0.759200,0.842267
30000.000000,29982.833984,10000.000000,0.001000,False,0.837639,0.537491,0.739800,0.841016
300.000000,68.932297,100000.000000,0.001000,False,0.834809,0.499521,0.761500,0.843279
1000.000000,908.208008,100000.000000,0.001000,False,0.838269,0.505113,0.758900,0.846346
3000.000000,2938.364746,100000.000000,0.001000,False,0.841311,0.513401,0.757300,0.847257
10000.000000,9897.152344,100000.000000,0.001000,False,0.841813,0.519473,0.751300,0.846483
30000.000000,29894.628906,100000.000000,0.001000,False,0.834458,0.521985,0.746800,0.840595
300.000000,299.915161,100.000000,0.001000,False,0.835340,0.521385,0.746400,0.843053
1000.000000,999.856140,100.000000,0.001000,False,0.838031,0.502926,0.761800,0.847107
3000.000000,2999.928467,100.000000,0.001000,False,0.840102,0.494190,0.757900,0.844045
10000.000000,9999.976562,100.000000,0.001000,False,0.837734,0.501752,0.762300,0.845499
30000.000000,30000.000000,100.000000,0.001000,False,0.833829,0.549544,0.744200,0.841255
300.000000,299.226379,1000.000000,0.001000,False,0.835390,0.512695,0.753100,0.841329
1000.000000,998.906799,1000.000000,0.001000,False,0.839128,0.493079,0.760800,0.850449
3000.000000,2999.377197,1000.000000,0.001000,False,0.840576,0.491541,0.763700,0.845276
10000.000000,9999.214844,1000.000000,0.001000,False,0.837606,0.513962,0.760700,0.845135
30000.000000,29999.466797,1000.000000,0.001000,False,0.833219,0.516034,0.750000,0.841006
300.000000,286.738190,10000.000000,0.001000,False,0.836140,0.503097,0.760100,0.842863
1000.000000,988.074585,10000.000000,0.001000,False,0.839321,0.500571,0.759500,0.848804
3000.000000,2993.174805,10000.000000,0.001000,False,0.838979,0.493786,0.759800,0.843658
10000.000000,9992.190430,10000.000000,0.001000,False,0.840796,0.509581,0.755800,0.848111
