lam,alpha,mode,run,accuracy
0.01,1.0,Multitask,14,0.84609375
0.01,1.0,Orthogonal,14,0.846875
0.01,1.0,Projection,14,0.84609375
0.01,1.0,Unweighted,14,0.84609375
0.01,1.0,Weighted,14,0.84609375
0.03,0.01,Orthogonal,14,0.8421875
0.03,0.01,Projection,14,0.8421875
0.03,0.01,Unweighted,14,0.84296875
0.03,0.01,Weighted,14,0.84453125
0.03,1.0,Multitask,14,0.84296875
0.03,1.0,Orthogonal,14,0.84375
0.03,1.0,Projection,14,0.84375
0.03,1.0,Unweighted,14,0.84453125
0.03,1.0,Weighted,14,0.84453125
0.0,1.0,Single task,14,0.84609375
0.1,0.01,Orthogonal,14,0.85078125
0.1,0.01,Projection,14,0.84921875
0.1,0.01,Unweighted,14,0.8453125
0.1,0.01,Weighted,14,0.84921875
0.1,1.0,Multitask,14,0.8515625
0.1,1.0,Orthogonal,14,0.853125
0.1,1.0,Projection,14,0.85078125
0.1,1.0,Unweighted,14,0.8546875
0.1,1.0,Weighted,14,0.84921875
0.3,0.01,Orthogonal,14,0.86953125
0.3,0.01,Projection,14,0.8703125
0.3,0.01,Unweighted,14,0.853125
0.3,0.01,Weighted,14,0.8453125
0.3,1.0,Multitask,14,0.86796875
0.3,1.0,Orthogonal,14,0.8671875
0.3,1.0,Projection,14,0.86640625
0.3,1.0,Unweighted,14,0.87109375
0.3,1.0,Weighted,14,0.85546875
1.0,0.01,Orthogonal,14,0.86953125
1.0,0.01,Projection,14,0.86953125
1.0,0.01,Unweighted,14,0.85390625
1.0,0.01,Weighted,14,0.859375
1.0,1.0,Multitask,14,0.86015625
1.0,1.0,Orthogonal,14,0.86875
1.0,1.0,Projection,14,0.8625
1.0,1.0,Unweighted,14,0.86953125
1.0,1.0,Weighted,14,0.86875
10.0,0.01,Orthogonal,14,0.86796875
10.0,0.01,Projection,14,0.86953125
10.0,0.01,Unweighted,14,0.86953125
10.0,0.01,Weighted,14,0.85625
10.0,1.0,Multitask,14,0.8578125
10.0,1.0,Orthogonal,14,0.8625
10.0,1.0,Projection,14,0.86171875
10.0,1.0,Unweighted,14,0.84921875
10.0,1.0,Weighted,14,0.86953125
100.0,0.01,Orthogonal,14,0.8359375
100.0,0.01,Projection,14,0.8515625
100.0,0.01,Unweighted,14,0.8671875
100.0,0.01,Weighted,14,0.865625
100.0,1.0,Multitask,14,0.8390625
100.0,1.0,Orthogonal,14,0.525
100.0,1.0,Projection,14,0.85390625
100.0,1.0,Unweighted,14,0.8421875
100.0,1.0,Weighted,14,0.840625
3.0,0.01,Orthogonal,14,0.875
3.0,0.01,Projection,14,0.85859375
3.0,0.01,Unweighted,14,0.85078125
3.0,0.01,Weighted,14,0.85859375
3.0,1.0,Multitask,14,0.8640625
3.0,1.0,Orthogonal,14,0.85
3.0,1.0,Projection,14,0.86484375
3.0,1.0,Unweighted,14,0.8609375
3.0,1.0,Weighted,14,0.878125
30.0,0.01,Orthogonal,14,0.85
30.0,0.01,Projection,14,0.8578125
30.0,0.01,Unweighted,14,0.86953125
30.0,0.01,Weighted,14,0.8625
30.0,1.0,Multitask,14,0.84765625
30.0,1.0,Orthogonal,14,0.8296875
30.0,1.0,Projection,14,0.8453125
30.0,1.0,Unweighted,14,0.8484375
30.0,1.0,Weighted,14,0.86015625
0.01,0.01,Orthogonal,15,0.859375
0.01,0.01,Projection,15,0.859375
0.01,0.01,Unweighted,15,0.859375
0.01,0.01,Weighted,15,0.85859375
0.01,1.0,Multitask,15,0.859375
0.01,1.0,Orthogonal,15,0.86015625
0.01,1.0,Projection,15,0.859375
0.01,1.0,Unweighted,15,0.86015625
0.01,1.0,Weighted,15,0.859375
0.03,0.01,Orthogonal,15,0.8625
0.03,0.01,Projection,15,0.8640625
0.03,0.01,Unweighted,15,0.8640625
0.03,0.01,Weighted,15,0.85859375
0.03,1.0,Multitask,15,0.86328125
0.03,1.0,Orthogonal,15,0.86328125
0.03,1.0,Projection,15,0.8640625
0.03,1.0,Unweighted,15,0.865625
0.03,1.0,Weighted,15,0.859375
0.0,1.0,Single task,15,0.8578125
0.1,0.01,Orthogonal,15,0.86171875
0.1,0.01,Projection,15,0.8640625
0.1,0.01,Unweighted,15,0.86171875
0.1,0.01,Weighted,15,0.86171875
0.1,1.0,Multitask,15,0.85859375
0.1,1.0,Orthogonal,15,0.86015625
0.1,1.0,Projection,15,0.86015625
0.1,1.0,Unweighted,15,0.85859375
0.1,1.0,Weighted,15,0.85234375
0.3,0.01,Orthogonal,15,0.87421875
0.3,0.01,Projection,15,0.8734375
0.3,0.01,Unweighted,15,0.86328125
0.3,0.01,Weighted,15,0.8640625
0.3,1.0,Multitask,15,0.87578125
0.3,1.0,Orthogonal,15,0.875
0.3,1.0,Projection,15,0.8765625
0.3,1.0,Unweighted,15,0.87109375
0.3,1.0,Weighted,15,0.86328125
1.0,0.01,Orthogonal,15,0.88203125
1.0,0.01,Projection,15,0.871875
1.0,0.01,Unweighted,15,0.85703125
1.0,0.01,Weighted,15,0.86953125
1.0,1.0,Multitask,15,0.8609375
1.0,1.0,Orthogonal,15,0.8671875
1.0,1.0,Projection,15,0.8640625
1.0,1.0,Unweighted,15,0.86953125
1.0,1.0,Weighted,15,0.875
10.0,0.01,Orthogonal,15,0.86484375
10.0,0.01,Projection,15,0.8640625
10.0,0.01,Unweighted,15,0.8578125
10.0,0.01,Weighted,15,0.85703125
10.0,1.0,Multitask,15,0.85390625
10.0,1.0,Orthogonal,15,0.85390625
10.0,1.0,Projection,15,0.84921875
10.0,1.0,Unweighted,15,0.86171875
10.0,1.0,Weighted,15,0.865625
100.0,0.01,Orthogonal,15,0.84296875
100.0,0.01,Projection,15,0.8484375
100.0,0.01,Unweighted,15,0.8609375
100.0,0.01,Weighted,15,0.8578125
100.0,1.0,Multitask,15,0.84609375
100.0,1.0,Orthogonal,15,0.58671875
100.0,1.0,Projection,15,0.840625
100.0,1.0,Unweighted,15,0.83984375
100.0,1.0,Weighted,15,0.846875
3.0,0.01,Orthogonal,15,0.8796875
3.0,0.01,Projection,15,0.86953125
3.0,0.01,Unweighted,15,0.8609375
3.0,0.01,Weighted,15,0.86015625
3.0,1.0,Multitask,15,0.86640625
3.0,1.0,Orthogonal,15,0.85859375
3.0,1.0,Projection,15,0.8703125
3.0,1.0,Unweighted,15,0.8640625
3.0,1.0,Weighted,15,0.86953125
30.0,0.01,Orthogonal,15,0.84453125
30.0,0.01,Projection,15,0.86328125
30.0,0.01,Unweighted,15,0.86328125
30.0,0.01,Weighted,15,0.85703125
30.0,1.0,Multitask,15,0.84921875
30.0,1.0,Orthogonal,15,0.64921875
30.0,1.0,Projection,15,0.84609375
30.0,1.0,Unweighted,15,0.846875
30.0,1.0,Weighted,15,0.8484375
0.01,0.01,Orthogonal,16,0.86171875
0.01,0.01,Projection,16,0.86171875
0.01,0.01,Unweighted,16,0.86171875
0.01,0.01,Weighted,16,0.86015625
0.01,1.0,Multitask,16,0.8625
0.01,1.0,Orthogonal,16,0.8625
0.01,1.0,Projection,16,0.8625
0.01,1.0,Unweighted,16,0.8609375
0.01,1.0,Weighted,16,0.859375
0.03,0.01,Orthogonal,16,0.859375
0.03,0.01,Projection,16,0.859375
0.03,0.01,Unweighted,16,0.8578125
0.03,0.01,Weighted,16,0.86015625
0.03,1.0,Multitask,16,0.85703125
0.03,1.0,Orthogonal,16,0.8578125
0.03,1.0,Projection,16,0.85703125
0.03,1.0,Unweighted,16,0.85859375
0.03,1.0,Weighted,16,0.8609375
0.0,1.0,Single task,16,0.86171875
0.1,0.01,Orthogonal,16,0.8671875
0.1,0.01,Projection,16,0.8734375
0.1,0.01,Unweighted,16,0.8609375
0.1,0.01,Weighted,16,0.859375
0.1,1.0,Multitask,16,0.87109375
0.1,1.0,Orthogonal,16,0.871875
0.1,1.0,Projection,16,0.8703125
0.1,1.0,Unweighted,16,0.86796875
0.1,1.0,Weighted,16,0.8625
0.3,0.01,Orthogonal,16,0.87265625
0.3,0.01,Projection,16,0.8734375
0.3,0.01,Unweighted,16,0.86015625
0.3,0.01,Weighted,16,0.85546875
0.3,1.0,Multitask,16,0.871875
0.3,1.0,Orthogonal,16,0.87890625
0.3,1.0,Projection,16,0.87265625
0.3,1.0,Unweighted,16,0.86953125
0.3,1.0,Weighted,16,0.86171875
